,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
11323,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-01-01
11323,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-01-01
11323,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-01-01
11323,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-01-01
11324,Bangalore,Wheat,Local,FAQ,2350.0,3000.0,2650.0,2015-01-02
11325,Bangalore,Wheat,Local,FAQ,2350.0,3000.0,2650.0,2015-01-03
11326,Bangalore,Wheat,Local,FAQ,,,2764.3348785546436,2015-01-04
11327,Bangalore,Wheat,Local,FAQ,2350.0,3000.0,2650.0,2015-01-05
11328,Bangalore,Wheat,Local,FAQ,2350.0,3000.0,2650.0,2015-01-06
11329,Bangalore,Wheat,Local,FAQ,2350.0,3000.0,2650.0,2015-01-07
11330,Bangalore,Wheat,Local,FAQ,2350.0,3000.0,2650.0,2015-01-08
11331,Bangalore,Wheat,Local,FAQ,2350.0,3000.0,2650.0,2015-01-09
11332,Bangalore,Wheat,Local,FAQ,,,2497.453003433279,2015-01-10
11333,Bangalore,Wheat,Local,FAQ,,,2497.4596555934836,2015-01-11
11334,Bangalore,Wheat,Local,FAQ,2350.0,3000.0,2650.0,2015-01-12
11335,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2700.0,2015-01-13
11336,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2700.0,2015-01-14
11337,Bangalore,Wheat,Local,FAQ,,,2764.4772283489365,2015-01-15
11338,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2700.0,2015-01-16
11339,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2600.0,2015-01-17
11340,Bangalore,Wheat,Local,FAQ,,,2564.521246271515,2015-01-18
11341,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2600.0,2015-01-19
11342,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2600.0,2015-01-20
11343,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2600.0,2015-01-21
11344,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2600.0,2015-01-22
11345,Bangalore,Wheat,Local,FAQ,2400.0,3100.0,2600.0,2015-01-23
11346,Bangalore,Wheat,Local,FAQ,2400.0,3100.0,2600.0,2015-01-24
11347,Bangalore,Wheat,Local,FAQ,,,2543.512789822708,2015-01-25
11348,Bangalore,Wheat,Local,FAQ,,,2515.262748182664,2015-01-26
11349,Bangalore,Wheat,Local,FAQ,,,2515.2591253478886,2015-01-27
11350,Bangalore,Wheat,Local,FAQ,,,2543.5019213183814,2015-01-28
11351,Bangalore,Wheat,Local,FAQ,2400.0,3100.0,2600.0,2015-01-29
11352,Bangalore,Wheat,Local,FAQ,2400.0,2900.0,2600.0,2015-01-30
11353,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2550.0,2015-01-31
11354,Bangalore,Wheat,Local,FAQ,,,2535.2523723287763,2015-02-01
11355,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2550.0,2015-02-02
11356,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2550.0,2015-02-03
11357,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2550.0,2015-02-04
11358,Bangalore,Wheat,Local,FAQ,2300.0,2800.0,2550.0,2015-02-05
11359,Bangalore,Wheat,Local,FAQ,2500.0,2700.0,2600.0,2015-02-06
11360,Bangalore,Wheat,Local,FAQ,,,2686.4939333014872,2015-02-07
11361,Bangalore,Wheat,Local,FAQ,,,2686.486664717578,2015-02-08
11362,Bangalore,Wheat,Local,FAQ,2500.0,2700.0,2600.0,2015-02-09
11363,Bangalore,Wheat,Local,FAQ,2200.0,2900.0,2550.0,2015-02-10
11364,Bangalore,Wheat,Local,FAQ,2200.0,2900.0,2550.0,2015-02-11
11365,Bangalore,Wheat,Local,FAQ,2200.0,2900.0,2550.0,2015-02-12
11366,Bangalore,Wheat,Local,FAQ,2200.0,2900.0,2550.0,2015-02-13
11367,Bangalore,Wheat,Local,FAQ,,,2529.9881907013223,2015-02-14
11368,Bangalore,Wheat,Local,FAQ,,,2529.9948672498767,2015-02-15
11369,Bangalore,Wheat,Local,FAQ,2200.0,2900.0,2550.0,2015-02-16
11370,Bangalore,Wheat,Local,FAQ,,,2565.0103316060267,2015-02-17
11371,Bangalore,Wheat,Local,FAQ,2200.0,2900.0,2550.0,2015-02-18
11372,Bangalore,Wheat,Local,FAQ,2200.0,2850.0,2500.0,2015-02-19
11373,Bangalore,Wheat,Local,FAQ,2200.0,2850.0,2500.0,2015-02-20
11374,Bangalore,Wheat,Local,FAQ,2200.0,2850.0,2500.0,2015-02-21
11375,Bangalore,Wheat,Local,FAQ,,,2465.123505482548,2015-02-22
11376,Bangalore,Wheat,Local,FAQ,2200.0,2850.0,2500.0,2015-02-23
11377,Bangalore,Wheat,Local,FAQ,2200.0,2850.0,2500.0,2015-02-24
11378,Bangalore,Wheat,Local,FAQ,2200.0,2850.0,2500.0,2015-02-25
11379,Bangalore,Wheat,Local,FAQ,2100.0,3000.0,2550.0,2015-02-26
11380,Bangalore,Wheat,Local,FAQ,2100.0,3000.0,2600.0,2015-02-27
11381,Bangalore,Wheat,Local,FAQ,2100.0,3000.0,2600.0,2015-02-28
